DATE ARRET;CDGI;QUARTIER;TYPE DE VOIE;PREFIXE de VOIE;NOM de VOIE;Libellé VOIE;CVOIE;HISTORIQUE;LARGEUR;LONG;DETAIL;ARRONDISSEMENT;STATUT PRESUME;DEBUT;FIN
1985-03-09T01:00:00+01:00;8923;Plaisance.;place;de;séoul;place de Séoul;8558;"Orig. du nom. ~ Séoul, capitale de la Corée du Sud.
Historique. ~ Voie créée dans le cadre de l'aménagement de la Zac `Guilleminot-Vercingétorix` Elle avait été provisoirement dénommée AB/14.";0.0;0.0;Dénomination. ~ Arr. mun. du 3 septembre 1985.;XIVe;voie publique;"au centre de l'immeuble dénommé ""les Colonnes"" et au droit de la place Slimane Azem.";
1885-09-12T00:53:28+00:53;3472;Porte Dauphine.;avenue;d';eylau;avenue d'Eylau;3497;Orig. du nom. ~ Victoire remportée, les 7 et 8 février 1807, sur les Prussiens et les Russes.;36.0;300.0;"Ouverture, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 29 mai 1886 (UP).
Numérotage. ~ Arr. du 19 juin 1891.
Dénomination. ~ Arr. du 9 décembre 1885.";XVIe;voie publique;place du Trocadéro et du 11 novembre, 10.;place de Mexico.
;X158;Amérique.;voie;;bl/19;voie BL/19;Y158;Historique. ~ Voie ouverte lors de la réalisation du boulevard Périphérique.;9.0;170.0;Ouverture. ~ Voie ouverte en 1969.;XIXe;voie publique;avenue René Fonck.;place du Maquis du Vercors.
;7271;Amérique.;rue;de;périgueux;rue de Périgueux;7222;"Orig. du nom. ~ Chef-lieu de la Dordogne.
Historique. ~ Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 23.";15.0;145.0;"Ouverture. ~ Ouverte en 1934.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 17 mars 1961.";XIXe;voie publique;boulevard Sérurier, 106.;boulevard d'Indochine, 5.
1873-10-11T00:53:28+00:53;9171;Villette.;rue;de;tanger;rue de Tanger;9135;"Orig. du nom. ~ Port du Maroc, bombardé par les Français le 6 août 1844 ; quartier où ont été groupés des noms rappelant les campagnes d'Afrique du Nord.
Historique. ~ Précédemment rue de l'Isly pour la partie A. La partie B a été formée par la réunion de l'impasse de Tanger, qui s'étendait sur une longueur de 93 m environ à partir de la place du Maroc, et de l'impasse d'Isly, d'une longueur de 134 m environ, qui débouchait rue Riquet. L'impasse de Tanger avait porté antérieurement le nom d'impasse d'Isly.";20.0;625.0;"Ouverture. ~ Ord. du 6 juin 1847, entre le boulevard de la Villette et la place du Maroc (A).
Classement. ~ Déc. du 23 mai 1863 (dans la voirie parisienne), partie A ; précédemment voie de l'ancienne commune de la Villette dans cette partie. Déc. du 28 janvier 1878, le surplus (B).
Alignements (retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 22 janvier 1932, partie B.
Alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 9 septembre 1938, au droit des nos 1 à 7 et 19 à 31.
Alignements (non retenus au PAZ de la Zac ""Flandre-Sud"" et non repris au PLU) et nivellement. ~ Arr. du 9 septembre 1938, côté impair, entre la rue du Département et la rue Bellot et, côté pair, partie A, sauf sur une longueur de 44 m environ à partir d'un point situé à 32 m environ de la rue Gaston Rébuffat (précédemment rue de Kabylie).
Numérotage. ~ Arr. du 23 août 1881.
Dénomination. ~ Déc. du 24 août 1864, partie A. Arr. du 10 novembre 1873, partie B.";XIXe;voie publique;boulevard de la Villette, 222.;rue Riquet, 41.
;8910;Ecole Militaire.;villa;de;ségur;villa de Ségur;8542;Orig. du nom. ~ Voisinage de l'avenue de Ségur.;12.0;98.0;Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 9 juin 1931.;VIIe;voie publique;avenue de Ségur, 37.;en impasse
1867-02-27T00:53:28+00:53;9127;Gros Caillou.;rue;;surcouf;rue Surcouf;8740;"Orig. du nom. ~ Robert Surcouf (1773-1827), corsaire ; voisinage des Invalides.
Historique. ~ Précédemment rue de la Boucherie des Invalides. Elle est indiquée sur le plan de Delagrive (1728).";11.69;265.0;"Alignements (non retenus au POS et non repris au PLU). ~ Ord. du 8 février 1848.
Numérotage. ~ Arr. du 28 août 1963.
Dénomination. ~ Déc. du 27 février 1867.";VIIe;voie publique;quai d'Orsay, 49.;rue Saint-Dominique, 52.
1956-03-13T01:00:00+01:00;6148;Gare.;rue;;maryse bastié;rue Maryse Bastié;6064;"Orig. du nom. ~ Maryse Bastié (1898-1952), aviatrice française.
Historique. ~ Ouverte par la Ville de Paris.";10.0;128.0;"Ouverture. ~ Ouverte en 1956.
Déclassement. ~ Délib. mun. du 14 et 15 novembre 2011 au droit du n°1.
Numérotage. ~ Arr. du 22 mai 1956.
Dénomination. ~ Arr. du 13 mars 1956.";XIIIe;voie publique;avenue Joseph Bédier, 1.;rue Franc-Nohain, 3.
1899-07-31T01:00:00+01:00;7139;Muette.;rue;;paul delaroche;rue Paul Delaroche;7066;"Orig. du nom. ~ Hippolyte, dit Paul Delaroche (1797-1856), peintre français ; quartier où ont été groupés des noms d'artistes.
Historique. ~ Précédemment rue Delaroche (déc. du 24 août 1864). Antérieurement rue Saint-Georges.";10.0;52.0;"Classement. ~ Déc. du 23 mai 1863.
Alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 6 mars 1884.
Dénomination. ~ Arr. du 31 juillet 1899.";XVIe;voie publique;rue Vital, 40.;place Possoz, 1 et avenue Paul Doumer, 81.
2017-09-25T02:00:00+02:00;;Batignolles.;place;;Marcelle Henry;place Marcelle Henry;5905;Orig.du nom.~ Marcelle Henry, née Marie Louise Marguerite Marcelle Henry (Angers, 1895 - Paris (19e), 1945), résistante. Nommée à titre posthume sous-directeur honoraire au ministère du Travail et de la Sécurité Sociale. Chevalier de la Légion d'honneur et décorée de la Croix de guerre 39-45 avc palme. Elle est l'une des six femmes élevées à la distinction de Compagnon de la Libération par le Général de Gaulle.;;;Dénomination. ~ Délib. Mun. des 25, 26 et 27 septembre 2017.;XVIIe;voie privée destinée à devenir publique;rue Mstislav Rostropovitch, 49.;passerelle Marcelle Henry.
2017-09-05T02:00:00+02:00;4258;Gare.;place;;grace murray hopper;place Grace Murray Hopper;4223;"Historique. ~ voie créée dans le secteur de la Halle Freyssinet, précédemment voie GR/13. Anciennement partie de la voie GM/13.
Orig. Du nom. ~ Grace Murray Hopper (New-York, 1906- comté d'Arlington, 1992), mathématicienne et informaticienne américaine, ayant mis au point le premier compilateur ainsi que le langage Cobol.";20.0;57.0;Dénomination. ~ Délib. Mun. des 9, 10 et 11 mai 2017.;XIIIe;voie privée destinée à devenir publique;rue du Chevaleret, 94.;rue Ada Lovelace, 9.
;7344;Sorbonne.;rue;du;petit pont;rue du Petit Pont;7297;"Orig. du nom. ~ Aboutit au Petit Pont.
Historique. ~ L'une des plus anciennes voies de Paris ; elle a été dénommée rue Neuve, en 1230, et a souvent été confondue avec la rue Saint-Jacques qui lui fait suite.";20.0;60.0;"Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 11 août 1855.
Numérotage. ~ Arr. du 11 février 1911 (côté pair).";Ve;voie publique;rue de la Bûcherie, 45 et rue de la Huchette, 1 bis.;rue Galande, 56 et rue Saint-Séverin, 4.
1985-02-04T01:00:00+01:00;0373;Halles.;passage;;antoine carême;passage Antoine Carême;0355;"Orig. du nom. ~ Marie, Antoine Carême (Paris, 1784-Paris, 1833), célèbre cuisinier et gastronome français.
Historique. ~ Voie créée dans le cadre de l'aménagement du Secteur des Halles. Elle avait été provisoirement dénommée F/1.";5.0;42.0;"Dénomination. ~ Arr. mun du 2 avril 1985.
Déclassement. ~ Délib. mun. des 11 et 12 décembre 2000.";Ier;voie privée;rue Saint-Honoré.;passage des Lingères.
1999-12-30T01:00:00+01:00;4385;Muette.;villa;des;guignières;villa des Guignières;4345;"Historique. ~ Précédemment, voie N/16.
Orig. du nom. ~ Ce nom provient de plantation de guigniers, variétés de cerisiers donnant des cerises à chair sucrée et de couleur noire ou rouge foncée.";9.6;24.0;"Classement. ~ Contrat administratif du 6 octobre 1997 (vente du sol de voie par la SNCF à la Ville de Paris).
Dénomination. ~ Arr. mun. du 30 décembre 1999";XVIe;voie publique;rue Singer, 31.;
;9492;Saint-Germain l'Auxerrois. Champs Elysées.;quai;des;tuileries;quai des Tuileries;9483;"Orig. Du nom. ~ Voisinage de l'ancien palais des Tuileries.
Historique. ~ La partie comprise entre le pont du Carrousel et le Louvre a été dénommée quai du Louvre. La partie comprise entre la place du Carrousel, et l'avenue du Général Lemonnier a été dénommée quai François Mitterrand. La partie comprise entre l'avenue du Général Lemonnier et la passerelle Léopold Sédar Senghor a été dénommée quai Aimé Césaire.
Monuments classés. ~ Palais du Louvre et des Tuileries. Pont Royal, y compris les parapets.";26.0;895.0;"Observation. ~ Constitue un élément de la voie Georges Pompidou, partie à niveau, partie en souterrain.
Création. ~ Lettres patentes du 8 octobre 1731. La construction du mur du quai a été approuvée par décret du 26 février 1806.
Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 16 juillet 1849.
Numérotage. ~ Arr. du 26 avril 1920, nos 2 et 4.";Ier;voie publique;quai Aimé Césaire.;pont de la Concorde, et place de la Concorde.
1884-08-30T00:53:28+00:53;8542;Notre-Dame des Champs.;rue;;sainte-beuve;rue Sainte-Beuve;9030;Orig. du nom. ~ Charles Augustin Sainte-Beuve (1804-1869), poète et critique français, est mort dans le voisinage (rue du Montparnasse, n° 11).;10.0;76.0;"Ouverture. ~ Ouverte en 1881.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 27 juin 1884.
Dénomination. ~ Arr. du 30 août 1884.";VIe;voie publique;rue Notre-Dame des Champs, 44.;boulevard Raspail, 131.
;5925;Notre-Dame des Champs.;allée;;maintenon;allée Maintenon;5854;;3.7;50.0;Création. ~ Créée en 1931.;VIe;voie privée;rue de Vaugirard, 114.;en impasse
1980-09-09T02:00:00+02:00;7947;Saint-Germain des Prés.;place;du;québec;place du Québec;7955;Orig. du nom. ~ Québec, nom d'une province de l'est du Canada et de la capitale de cette province, la plus ancienne ville du Canada.;20.0;49.0;"Numérotage. ~ Arr. mun. du 19 mars 1981.
Dénomination. ~ Arr. mun. du 9 septembre 1980.";VIe;voie publique;intersection des rues de Rennes, Bonaparte, Gozlin et du boulevard Saint-Germain.;
1867-02-27T00:53:28+00:53;8376;Odéon.;rue;;rotrou;rue Rotrou;8342;"Orig. du nom. ~ Jean de Rotrou (1609-1650), auteur dramatique français ; voisinage du théâtre de l'Odéon.
Historique. ~ Précédemment, rue Molière.
Monument classé. ~ Théâtre de l'Odéon.";9.0;52.0;"Ouverture. ~ Lettres patentes du 10 août 1779 (larg. : 30 pieds).
Alignements (non retenus au POS et non repris au PLU). ~ Ord. du 12 mai 1841.
Servitude. ~ L'immeuble n° 2 est assujettis à une servitude d'architecture (lettres patentes du 10 août 1779 et contrat du 20 septembre 1781).
Dénomination. ~ Déc. du 27 février 1867.";VIe;voie publique;place de l'Odéon, 8.;rue de Vaugirard, 20 et place Paul Claudel.
;6860;Odéon. Val de Grâce. Notre-Dame des Champs. Montparnasse.;avenue;de l';observatoire;avenue de l'Observatoire;6805;"Orig. du nom. ~ Conduit à l'Observatoire.
Historique. ~ Précédemment avenue de la Pépinière ou avenue du Luxembourg entre le boulevard du Montparnasse et le jardin du Luxembourg. La partie située côté impair, limitée par le chemin de fer et comprise entre les boulevards Saint-Michel et de Port-Royal a été dénommée avenue Georges Bernanos.
Site classé. ~ Les voies M et N ont été classées comme site par arr. min. du 13 juin 1961.
Monuments classés. ~ Observatoire et ses jardins. Aux nos 42 et 44 : ancien aqueduc des eaux de Rungis ou aqueduc Médicis : ancien regard de l'aqueduc, dit pavillon des Fontainiers, avec ses réservoirs souterrains des XVIIe et XIXe siècles, ainsi que les escaliers et couloirs de circulation qui leurs sont liés.";82.0;800.0;"Observation. ~ Dans une longueur de 380 m, à partir de la rue Auguste Comte et de la place André Honnorat, le centre de cette avenue est occupé par deux jardins publics d'une superficie totale de 22 000 m2. L'extrémité sud des jardins comporte une fontaine ornée de statues (fontaine Carpeaux). La voie située à l'est de ces jardins a 13 m de largeur (M) et celle qui est à l'ouest, 14 m (N) ; le décret du 14 août 1866 prévoyait une largeur uniforme de 20 m pour chacune des deux voies.
Ouverture. ~ Déc. du 14 août 1866 (UP), depuis la rue Auguste Comte jusqu'à la rue d'Assas et au boulevard Saint-Michel (A).
Alignements (retenus au POS et non repris au PLU). ~ Déc. du 14 août 1866 (UP), pour le n° 2.
Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 14 août 1866 (UP), partie A, sauf pour le n° 2 et les parties régies par les textes suivants : Déc. du 23 juin 1901 raccordement du côté impair avec la rue Auguste Comte. Déc. du 24 mars 1884, dans une longueur de 12 m environ, au droit du n° 4, à partir d'un point situé à 11° m du mitoyen compris entre les nos 2 et 4 (au droit d'une voie déclassée sur l'emplacement de l'Ecole de Pharmacie). Déc. du 17 septembre 1879, sur une longueur de 14 m environ, à partir de la rue des Chartreux. Ord. du 9 décembre 1838, depuis la rue d'Assas et le boulevard de Port-Royal jusqu'à l'Observatoire.
Nivellement. ~ Déc. du 23 juin 1901, au droit du pan coupé situé sur le n° 1 à l'angle de la rue Auguste Comte. Déc. du 24 mars 1884, voie latérale située à l'ouest des jardins, entre les rues Auguste Comte et Michelet.
Numérotage. ~ Arr. du 13 novembre 1880 (côté impair). Arr. du 6 mai 1884 (côté pair).";VIe,Ve,XIVe;voie publique;rue Auguste Comte, 9 et place André Honnorat.;à l'Observatoire.
;0991;Ecole Militaire.;rue;;bixio;rue Bixio;0998;"Orig. du nom. ~ Jules Maurice Bixio (1836-1908), conseiller municipal, directeur de la Compagnie générale des Voitures à Paris.
Historique. ~ Située sur l'emplacement d'un ancien dépôt de la Compagnie générale des Voitures à Paris, cette voie primitivement ouverte sur une longueur de 40 m à partir de l'avenue de Ségur, a été prolongée, en 1935, jusqu'à l'avenue de Lowendal.";15.0;110.0;Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 9 septembre 1938.;VIIe;voie publique;avenue de Lowendal, 1 bis.;avenue de Ségur, 2 ter.
;7169;Saint-Thomas d'Aquin.;impasse;;paul-louis courier;impasse Paul-Louis Courier;7108;Orig. du nom. ~ Voisinage de la rue Paul-Louis Courier.;3.6;25.0;Nota. ~ voie privée ouverte à la circulation publique (arr. du 23 juin 1959).;VIIe;voie privée;rue Paul-Louis Courier, 7.;
1985-03-09T01:00:00+01:00;0105;Plaisance.;rue;;alain;rue Alain;0130;"Orig. du nom. ~ Emile-Auguste Chartier dit Alain (Mortagne-au-Perche, 1868-Le Vésinet, 1951). Philosophe et essayiste français.
Historique. ~ Voie créée dans le cadre de l'aménagement de la Zac `Guilleminot-Vercingétorix et Jean Zay`. Elle avait été provisoirement dénommée T/14.";15.0;275.0;Dénomination. ~ Arr. mun. du 3 septembre 1985.;XIVe;voie publique;place de Catalogne, 19.;rue Vercingétorix, 76.
1890-04-18T00:53:28+00:53;7445;Plaisance.;rue;;pierre larousse;rue Pierre Larousse;7405;"Orig. du nom. ~ Pierre Larousse (1817-1875), homme de lettres français, auteur du grand dictionnaire qui porte son nom.
Historique. ~ Précédemment rue Chanudet. La rue Chanudet finissait rue de Vanves.";10.0;391.0;"Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 1er juin 1886.
Dénomination. ~ Arr. du 18 avril 1890.";XIVe;voie publique;rue Didot, 92.;rue Raymond Losserand, 161.
1899-02-08T01:00:00+01:00;5513;Petit Montrouge.;rue;;leneveux;rue Leneveux;5450;Orig. du nom. ~ Henri Charles Leneveux, maire et conseiller municipal du XIVe arrondissement.;12.0;83.0;"Ouverture. ~ Ouverte en 1891.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 16 février 1899.
Numérotage. ~ Arr. du 21 avril 1902.
Dénomination. ~ Arr. du 2 août 1899.";XIVe;voie publique;rue Adolphe Focillon, 11 bis, rue Marguerin, 12.;rue Alphonse Daudet, 14.
;4031;Plaisance.;rue;du;général de maud'huy;rue du Général De Maud'Huy;4019;"Orig. du nom. ~ Louis Ernest de Maud'huy (1857-1921), général, s'illustra au cours de la guerre de 1914-1918.
Historique. ~ Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 78.";20.0;110.0;"Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 3 janvier 1962.
Dénomination. ~ Voie dénommée en 1934.";XIVe;voie publique;boulevard Brune.;avenue Maurice d'Ocagne.
;6875;Montparnasse.;rue;d';odessa;rue d'Odessa;6816;"Orig. du nom. ~ Odessa, port d'Ukraine bombardé en 1855.
Historique. ~ Cette voie a englobé l'ancienne cité d'Odessa ouverte à l'époque de la guerre de Crimée.";18.0;184.0;"Ouverture et classement. ~ Déc. du 27 avril 1881.
Alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 25 avril 1934.
Numérotage. ~ Arr. du 13 mars 1883.";XIVe;voie publique;rue du Départ, 3.;boulevard Edgar Quinet, 56 et rue du Montparnasse, 64.
;8924;Amérique.;rue;des;sept arpents;rue des Sept Arpents;8559;"Orig. du nom. ~ Lieu-dit.
Historique. ~ Située autrefois sur les territoires de Pantin et du Pré-Saint-Gervais annexés à Paris par décret du 27 juillet 1930. A la suite de la construction du boulevard Périphérique en 1966, une partie de la rue des Sept Arpents a été absorbée par l'avenue de la Porte de Pantin.";20.0;74.0;;XIXe;voie publique;avenue de la Porte de Pantin, 8.;rue des Sept Arpents, à Pantin et au Pré-Saint-Gervais.
